Recall,Precision,F1 score,Validation Critic,Anomaly Critic,Val-Anom critic,Critic cost,Critic cost gp,Mean critic cost,Evaluation time,TP,FP,TN,FN
0.9375,0.9375,0.9375,-11.3234977722168,-12.8848094940186,-1.56131172180176,-0.473947525024414,-0.449466377496719,-11.3234977722168,1.5633909702301,60,4,60,4
0.953125,0.953125,0.953125,-11.7510547637939,-13.208288192749,-1.45723342895508,-0.586545944213867,-0.51162588596344,-11.7510547637939,1.7346088886261,61,3,61,3
0.984375,0.984375,0.984375,-12.2517967224121,-14.0529432296753,-1.80114650726318,-0.565629959106445,-0.490594327449799,-12.2517967224121,1.59316301345825,63,1,63,1
0.84375,0.84375,0.84375,-12.1033926010132,-13.2425527572632,-1.13916015625,-0.50926399230957,-0.463770627975464,-12.1033926010132,1.60344195365906,54,10,54,10
0.640625,0.640625,0.640625,-12.1243543624878,-12.5839233398438,-0.459568977355957,-0.736038208007813,-0.612351596355438,-12.1243543624878,1.60403800010681,41,23,41,23
0.90625,0.90625,0.90625,-11.7369728088379,-14.0427646636963,-2.3057918548584,-0.794140815734863,-0.760784864425659,-11.7369728088379,1.60288691520691,58,6,58,6
0.375,0.375,0.375,-11.3857269287109,-10.8484554290771,0.537271499633789,-0.934887886047363,-0.869266748428345,-11.3857269287109,1.73929595947266,24,40,24,40
0.96875,0.96875,0.96875,-10.9206809997559,-12.8307018280029,-1.91002082824707,-0.537558555603027,-0.508911192417145,-10.9206809997559,1.59225416183472,62,2,62,2
0.984375,0.984375,0.984375,-10.3388795852661,-13.0644493103027,-2.72556972503662,-0.549732208251953,-0.508961319923401,-10.3388795852661,1.58931112289429,63,1,63,1
0.875,0.875,0.875,-12.157130241394,-13.7455425262451,-1.58841228485107,-0.739584922790527,-0.65499073266983,-12.157130241394,1.58435392379761,56,8,56,8
0.984375,0.984375,0.984375,-9.41812324523926,-12.0693912506104,-2.65126800537109,-0.557826995849609,-0.506697297096252,-9.41812324523926,1.72746300697327,63,1,63,1
0.875,0.875,0.875,-12.4015645980835,-13.8274955749512,-1.42593097686768,-0.502372741699219,-0.406529188156128,-12.4015645980835,1.5771541595459,56,8,56,8
0.828125,0.828125,0.828125,-9.86712551116943,-11.0080242156982,-1.14089870452881,-0.544170379638672,-0.517805457115173,-9.86712551116943,1.57872009277344,53,11,53,11
0.921875,0.921875,0.921875,-11.2513160705566,-13.1968755722046,-1.94555950164795,-0.561173439025879,-0.449550449848175,-11.2513160705566,1.57580304145813,59,5,59,5
0.71875,0.71875,0.71875,-9.15701484680176,-10.2494163513184,-1.0924015045166,-0.716164588928223,-0.66449385881424,-9.15701484680176,1.75447702407837,46,18,46,18
0.984375,0.984375,0.984375,-9.92779159545898,-12.6040716171265,-2.67628002166748,-0.687171936035156,-0.595633387565613,-9.92779159545898,1.64281797409058,63,1,63,1
0.890625,0.890625,0.890625,-10.549165725708,-12.0055284500122,-1.4563627243042,-0.58070182800293,-0.467962443828583,-10.549165725708,1.60648679733276,57,7,57,7
0.5,0.5,0.5,-11.0842685699463,-10.9375133514404,0.146755218505859,-0.618974685668945,-0.576740682125092,-11.0842685699463,1.60738611221313,32,32,32,32
0.734375,0.734375,0.734375,-10.7658805847168,-11.3819007873535,-0.616020202636719,-0.465744018554688,-0.373281866312027,-10.7658805847168,1.61495995521545,47,17,47,17
0.78125,0.78125,0.78125,-9.806809425354,-10.6859445571899,-0.879135131835938,-0.421987533569336,-0.357669532299042,-9.806809425354,1.74005079269409,50,14,50,14
1,1,1,-8.35205554962158,-11.7269687652588,-3.37491321563721,-0.390710830688477,-0.350319474935532,-8.35205554962158,1.61189699172974,64,0,64,0
0.875,0.875,0.875,-9.61312675476074,-10.9532661437988,-1.34013938903809,-0.461553573608398,-0.425455719232559,-9.61312675476074,1.60482311248779,56,8,56,8
0.828125,0.828125,0.828125,-10.7365503311157,-11.9225454330444,-1.18599510192871,-0.650775909423828,-0.626351892948151,-10.7365503311157,1.60985422134399,53,11,53,11
0.78125,0.78125,0.78125,-8.16809558868408,-9.10492038726807,-0.936824798583984,-0.753009796142578,-0.666999042034149,-8.16809558868408,1.76040983200073,50,14,50,14
0.734375,0.734375,0.734375,-8.34902381896973,-9.2410831451416,-0.892059326171875,-0.668693542480469,-0.600109815597534,-8.34902381896973,1.61660289764404,47,17,47,17
0.859375,0.859375,0.859375,-8.98327159881592,-10.4377288818359,-1.45445728302002,-0.561422348022461,-0.52611368894577,-8.98327159881592,1.6094708442688,55,9,55,9
0.875,0.875,0.875,-9.41348552703857,-10.5593395233154,-1.14585399627686,-0.610553741455078,-0.557462334632874,-9.41348552703857,1.62101101875305,56,8,56,8
0.921875,0.921875,0.921875,-7.44843149185181,-9.3487024307251,-1.90027093887329,-0.551081657409668,-0.525536596775055,-7.44843149185181,1.60692477226257,59,5,59,5
0.984375,0.984375,0.984375,-8.22804641723633,-10.9370899200439,-2.70904350280762,-0.477747917175293,-0.4497050344944,-8.22804641723633,1.76826405525208,63,1,63,1
